Раздел,Подраздел,Название,Описание,Тип,Путь
Личный бренд,,Elevator Pitch,"Структура 60 сек: КТО → ЧТО → ПОЧЕМУ → ЧЕМ ПОЛЕЗЕН. Варианты для разных ЦА.",md,Личный бренд/🎯 ELEVATOR PITCH - Самопрезентация за 1 минуту.md
Личный бренд,,Elevator Pitch — Тренировки,"Недельный план: диктофон, зеркало, видео, 60-секундный лимит.",md,Личный бренд/🎯 ELEVATOR PITCH - Тренировочные упражнения.md
Личный бренд,,Промпт NotebookLM — Брендбук,"Инструкция загрузки файлов бренда в Google NotebookLM.",md,Личный бренд/Промпт для NotebookLM - Брендбук Amalgama.md
Личный бренд,,Описание для Telegram,"Варианты био 64–75 символов: Кто → Что → Результат.",md,Личный бренд/Описание для Telegram био.md
Личный бренд,,Современная формула офера,"Заменить «трудно» на «тупо» отказаться. Психология решения.",md,Личный бренд/Современная формула офера.md
Личный бренд,,Гайдбук — Instagram с нуля,"Чеклист: аватарка, свет, визуальный стиль, что выложить.",md,Личный бренд/Гайдбук — Instagram с нуля для новичков.md
Личный бренд,,Публикации в медиа,"Руководство по статьям о рынке Уфы в интернет-изданиях.",md,Личный бренд/📰 ПУБЛИКАЦИИ В МЕДИА - Повышение экспертности и медийности.md
Личный бренд,,Контент-идеи под каналы,"Идеи по сегментам: trade-in, арендаторы, районы, отказники, инвесторы.",md,Личный бренд/Контент-идеи под каналы.md
Личный бренд,,Мини-лид-магниты,"5 идей: PDF «7 ошибок», подбор 3 ЖК, таблица аренда/покупка, мини-консультация.",md,Личный бренд/Мини-лид-магниты которые можно быстро сделать.md
Личный бренд,,Обзоры рилсов и новостей,"3 вирусных сценария: «Разбор с экспертом» — факт-чек чужих рилсов.",md,Личный бренд/Контент - Обзоры рилсов и новостей недвижимости.md
Личный бренд,,Сайт и воронки,"Референсы: визитка, нейроворонка, ТОП-11 Instagram-аккаунтов.",md,Личный бренд/Сайт и воронки.md
Личный бренд,,Правила рилс,"Проверенные инсайты: структура, хуки, CTA для вирусных Reels/Shorts/TikTok.",md,Личный бренд/Правила рилс.md
Личный бренд,,Метод Vertok,"Треугольник виральности, 10-шаговый алгоритм сценария, посекундная структура.",md,Личный бренд/Подход Vertok — метод написания рилс.md
Личный бренд,,Формат «Шоу на стуле»,"Образ: «умный кореец в очках и кепке». Форматы: честный разбор, мифы, совет.",md,Личный бренд/Форматы Reels - Шоу на стуле.md
Личный бренд,,Хуки и сценарии izmlv_smm,"5 механик хуков: «Я один не понимаю?», сравнение. Готовые формулировки.",md,Личный бренд/Reels — хуки и сценарии из разбора izmlv_smm (новостройки и ипотека).md
Личный бренд,,Рилс — Сколько стоит час агента,"Черновик 30 сек: провокационный тон, цена часа работы.",md,Личный бренд/Reels — Сколько стоит час агента.md
Личный бренд,,Рилс — Работа мечты агента,"Хук: «Где зарабатывать от 200К не напрягаясь?» Конкретные цифры.",md,Личный бренд/Reels — Работа мечты агента.md
Личный бренд,,Сценарий — Поколения покупают по-разному,"45–60 сек: миллениалы, зумеры, альфа. Провокация обсуждения.",md,Личный бренд/Готовый сценарий - Поколения покупают по-разному.md
Личный бренд,,50 заголовков для рилса,"Универсальные хуки: «Нам надо это обсудить», «Жёсткая правда о том, почему...»",md,Личный бренд/50 заголовков для начала рилса которые подойдут под любую нишу.md
Личный бренд,Идеи на реализацию,20 идей рилсов — izmlv_smm,"20 готовых идей: Hook → Тезис → CTA. Баланс B2C/B2B/ИИ.",md,Личный бренд/Идеи на реализацию/20 идей рилсов — метод izmlv_smm.md
Личный бренд,Идеи на реализацию,Сырые идеи для контента,"19 идей: обзор книг от ChatGPT, квартиры знаменитостей, ЖК по зодиаку.",md,Личный бренд/Идеи на реализацию/= Сырые идеи для контента.md
Личный бренд,Идеи на реализацию,Поколения и выбор квартир,"Характеристики бумеров, миллениалов, зумеров: критерии, ипотека, планировки.",md,Личный бренд/Идеи на реализацию/КАК РАЗНЫЕ ПОКОЛЕНИЯ ВЫБИРАЮТ КВАРТИРЫ.md
Личный бренд,Идеи на реализацию,Оценка домов из сказок,"Вирусная идея: оценка недвижимости из мультфильмов. Ностальгия + экспертиза.",md,Личный бренд/Идеи на реализацию/Оценка домов из сказок и мультфильмов.md
Личный бренд,Идеи на реализацию,Интересные аккаунты,"«Аккаунт недели» — обзор аккаунтов: аналитики, агенты, застройщики.",md,Личный бренд/Идеи на реализацию/ИДЕЯ КОНТЕНТА - Интересные аккаунты в сфере недвижимости.md
Личный бренд,Идеи на реализацию,30 виральных сценариев,"30 сценариев для продажи «Онлайн сопровождение — Без Рисков» (49 000₽).",md,Личный бренд/Идеи на реализацию/30_ВИРАЛЬНЫХ_СЦЕНАРИЕВ_РИЛСОВ.md
Личный бренд,Идеи на реализацию,30 тем рилсов — Новостройки Уфа,"30 историй привязанных к ЖК Уфы. Продукт: сопровождение 49 000₽.",md,Личный бренд/Идеи на реализацию/30 ТЕМ РЕЛСОВ - НОВОСТРОЙКИ (УФА).md
Личный бренд,Идеи на реализацию,67 тем рилсов — Онлайн сопровождение,"67 тем по 7 категориям: страхи, экономия, ошибки, лайфхаки, кейсы.",md,Личный бренд/Идеи на реализацию/67 ТЕМ РЕЛСОВ - Онлайн сопровождение сделки.md
Личный бренд,Идеи на реализацию,Готовые контент-единицы — Ноябрь 2025,"5 единиц: 3 рилса + Telegram-пост + Instagram-карусель с полными сценариями.",md,Личный бренд/Идеи на реализацию/ГОТОВЫЕ КОНТЕНТ-ЕДИНИЦЫ - Ноябрь 2025.md
Личный бренд,Идеи на реализацию,Рилс — Поколения (Vertok),"Полный сценарий: 4 поколения — 4 сценария покупки. KPI: удержание >45%.",md,Личный бренд/Идеи на реализацию/Рилс — Как покупают квартиры разные поколения (Vertok).md
Личный бренд,Идеи на реализацию,Рилс — Дворец борьбы Муратова,"Сценарий: цифры, функции, экономика событий. KPI: 400+ комментов.",md,Личный бренд/Идеи на реализацию/Рилс — Дворец борьбы Муратова.md
Личный бренд,Идеи на реализацию,ЖК по знакам зодиака,"15 вирусных идей: «ты — ЖК по знаку зодиака», по планировке, по этажу.",md,Личный бренд/Идеи на реализацию/жк по знакам задиака.md
Личный бренд,Идеи на реализацию,Бабки скамщицы,"Сценарий 25 сек: экономия 300К через проверку и торг. CTA: «ЭКОНОМИЯ».",md,Личный бренд/Идеи на реализацию/Бабки скамщицы.md
Личный бренд,Идеи на реализацию,Работает из любой точки мира,"Сценарий 22 сек: онлайн-сопровождение без личных встреч. CTA: «ОНЛАЙН».",md,Личный бренд/Идеи на реализацию/Работает из любой точки мира.md
Личный бренд,Идеи на реализацию,Верни 650К из бюджета,"Сценарий 23 сек: налоговый вычет до 650К. CTA: «ВЫЧЕТ».",md,Личный бренд/Идеи на реализацию/Верни 650К из бюджета государства.md
Личный бренд,Идеи на реализацию,Полное сопровождение,"Сценарий 28 сек: от поиска квартиры до ключей без участия клиента.",md,Личный бренд/Идеи на реализацию/Полное сопровождение от поиска до ключей.md
Личный бренд,Идеи на реализацию,Сэкономить 300К за 3 недели,"Сценарий 25 сек: проверка + торг = 300К экономии. CTA: «ЭКОНОМИЯ».",md,Личный бренд/Идеи на реализацию/Как сэкономить 300К на квартире за 3 недели?.md
Личный бренд,Идеи на реализацию,Инфляция съедает сбережения,"Сценарий 20 сек: -10%/год, нужно действовать.",md,Личный бренд/Идеи на реализацию/Инфляция съедает сбережения.md
Личный бренд,Идеи на реализацию,Банки отказывают в ипотеке,"Сценарий 21 сек: неверные документы, кредитная история.",md,Личный бренд/Идеи на реализацию/Почему банки отказывают в ипотеке?.md
Личный бренд,Идеи на реализацию,Конфликты из-за стресса сделки,"Сценарий 26 сек: ссоры, разводы. CTA: «Хочешь спокойную сделку?»",md,Личный бренд/Идеи на реализацию/Конфликты с семьей из-за стресса сделки.md
Личный бренд,Идеи на реализацию,Сделки срываются в последний момент,"Сценарий 23 сек: неверные документы, потеря времени. CTA: «ДОКУМЕНТЫ».",md,Личный бренд/Идеи на реализацию/Почему сделки срываются в последний момент?.md
Личный бренд,Идеи на реализацию,Бессонные ночи перед сделкой,"Сценарий 19 сек: страх мошенников, дефектов. CTA: «СТРАХ».",md,Личный бренд/Идеи на реализацию/Бессонные ночи перед сделкой.md
Личный бренд,Идеи на реализацию,40 часов бюрократии,"Сценарий 22 сек: МФЦ, банки, нотариусы вместо отдыха.",md,Личный бренд/Идеи на реализацию/40 часов бюрократии вместо отдыха.md
Личный бренд,Идеи / Карусели,Карусель — Рынок Уфы сентябрь 2025,"Готовые слайды: рекорд 1237 квартир на 8.4 млрд ₽, ипотека = 81%.",md,Личный бренд/Идеи на реализацию/Карусели/Карусель Instagram — Рынок недвижимости Уфы сентябрь 2025.md
Личный бренд,Проанализировать,План продвижения B2C,"Онлайн сопровождение (49 000₽): цели на 30/90 дней, ЦА — семьи, инвесторы.",md,Личный бренд/Проанализировать эту папку/🚀 ПЛАН ПРОДВИЖЕНИЯ B2C - Онлайн сопровождение сделки.md
Личный бренд,Проанализировать,Стратегия продаж через Reels,"Система «снизу вверх»: от офера к контенту. Цель — 2 млн за 2 года.",md,Личный бренд/Проанализировать эту папку/🚀 СТРАТЕГИЯ ПРОДАЖ ЧЕРЕЗ REELS.md
Личный бренд,Проанализировать,Создание контент Империи,"4 вопроса позиционирования, 5 тем блога: ИИ, партнёрства, мышление, лидерство, опыт.",md,Личный бренд/Проанализировать эту папку/1. 👑 Создание контент Империи.md
Обучение,,Книга — обучение агентов,"Гид «Легкий способ вырастить сильного агента» для АН СРЕДА: 16+ глав.",md,Обучение/2026-05-09_kniga-obuchenie-agentov-novostroek.md
Обучение,,Слайды обучения Талан/Альфа,"HTML-презентация для обучения по программе Талан/Альфа.",html,Обучение/slides-obuchenie-talan-alfa-2026-05-06.html
Обучение,,Архитектура Второго мозга,"HTML-рекомендации по структуре Obsidian.",html,Обучение/архитектура-vtorogo-mozga-rekomendacii.html
Посты,,Пост — час времени,"Расчёт: при 200К/мес продуктивный час = 2 273 руб.",md,Посты/Пост про час времени.md
Посты,,Пост-знакомство,"Позиционирование: 5+ млрд продаж, 170-180 сделок/мес. CTA: «СИСТЕМА».",md,Посты/пост знакомство@Антон 2.0.md
Реестры,,Дашборд — Контент,"Dataview-дашборд контента: idea/draft/ready/published.",md,Реестры/Дашборд - Контент.md
Реестры,,Дашборд — Проекты,"Dataview-дашборд проектов: active/paused/done с приоритетами.",md,Реестры/Дашборд - Проекты.md
Реестры,,Дашборд — Встречи,"Dataview-дашборд встреч: предстоящие/прошедшие.",md,Реестры/Дашборд - Встречи.md
Реестры,,Процессы — Реестр,"Маршрутная карта 2026: Фаза 1 (Цифровой помощник), 2 (Telegram), 3 (Консалтинг).",md,Реестры/Процессы - Реестр.md
Реестры,,Финансы — Реестр,"Ссылки на налоги 2026, бухгалтерию, план трат.",md,Реестры/Финансы - Реестр.md
Реестры,,Инструкция — Трекинг,"Гайд по ведению процессов и финансов в Obsidian с frontmatter.",md,Реестры/Инструкция - Трекинг процессов и финансов.md
Рекомендации обсидиан,,Командный центр,"Навигация: дашборды, шаблоны, ИИ-пульт, ключевые зоны.",md,Рекомендации обсидиан/Командный центр.md
Рекомендации обсидиан,,Рабочий цикл,"5 шагов: Захват → Обработка → Бриф → ИИ-сессия → Проверка.",md,Рекомендации обсидиан/Рабочий цикл.md
Рекомендации обсидиан,Шаблоны,Саммари,"Шаблон отчёта: резюме, ключевые выводы, решения, следующие шаги.",md,Рекомендации обсидиан/Шаблоны/Шаблон - Саммари.md
Рекомендации обсидиан,Шаблоны,Запрос к ИИ,"Шаблон: контекст, цель, ограничения, данные, формат ответа, промпт.",md,Рекомендации обсидиан/Шаблоны/Шаблон - Запрос к ИИ.md
Рекомендации обсидиан,Шаблоны,Контент-бриф,"Шаблон: цель, аудитория, ключевые тезисы, формат, CTA.",md,Рекомендации обсидиан/Шаблоны/Шаблон - Контент-бриф.md
Рекомендации обсидиан,Шаблоны,Встреча,"Шаблон: цели, итоги, решения, задачи, риски.",md,Рекомендации обсидиан/Шаблоны/Шаблон - Встреча.md
Рекомендации обсидиан,Шаблоны,Проект,"Шаблон: цель, результат, метрики, план, риски. С priority/deadline.",md,Рекомендации обсидиан/Шаблоны/Шаблон - Проект.md
Рекомендации обсидиан,ИИ,ИИ-пульт,"Стандарт: формат ответа, минимальный бриф, золотые промпты.",md,Рекомендации обсидиан/ИИ/ИИ-пульт.md
Трансерфинг,,Индекс,"Навигация: книги, 14 смыслов, практики, чек-листы.",md,Трансерфинг/Трансерфинг - Индекс.md
Трансерфинг,,Ключевые смыслы,"Конспект всех концепций: варианты, маятники, важность, намерение, волна удачи.",md,Трансерфинг/Ключевые смыслы Трансерфинга.md
Трансерфинг,,Вадим Зеланд — Трансерфинг Реальности,"Полный текст книги в md-формате.",md,Трансерфинг/Вадим-Зеланд-Трансерфинг-Реальности.md
Трансерфинг,Ключевые смыслы,Двери и сценарии,"Множественность путей к цели: не упираться, быть гибким, путь наименьшего сопротивления.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Двери и сценарии.md
Трансерфинг,Ключевые смыслы,Знаки и согласование,"Следование подсказкам мира: замечать знаки, лёгкие шаги, не через силу.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Знаки и согласование.md
Трансерфинг,Ключевые смыслы,Правило зеркала,"Мир — зеркало. Сначала изменение внутри, потом отражение с задержкой.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Правило зеркала.md
Трансерфинг,Ключевые смыслы,Фрейлинг,"Взаимовыгода: отдавать → получить, ценность вместо давления, win-win.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Фрейлинг.md
Трансерфинг,Ключевые смыслы,Волна удачи,"Скопление благоприятных событий. Фиксировать успехи, усиливать фокус.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Волна удачи.md
Трансерфинг,Ключевые смыслы,Координация намерения,"В любом событии видеть плюс и шаг к цели. Препятствия → возможности.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Координация намерения.md
Трансерфинг,Ключевые смыслы,Намерение внутреннее и внешнее,"Внутреннее — действие. Внешнее — «позволить себе иметь», выбор линии жизни.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Намерение внутреннее и внешнее.md
Трансерфинг,Ключевые смыслы,Слайды цели,"Удерживаемые мыслеобразы: позитивные (целевые) и негативные. Держать цель.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Слайды цели.md
Трансерфинг,Ключевые смыслы,Маятники,"Энергоструктуры, питающиеся вниманием. Не бороться — выскальзывать.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Маятники.md
Трансерфинг,Ключевые смыслы,Свои и ложные цели,"Свои дают энергию, чужие (навязанные) истощают. Критерий — внутренний комфорт.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Свои и ложные цели.md
Трансерфинг,Ключевые смыслы,Пространство вариантов,"Бесконечное поле всех сценариев. Выбираем линию жизни вниманием и намерением.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Пространство вариантов.md
Трансерфинг,Ключевые смыслы,Индуцированный переход,"Перенос на нежелательные линии через негативные эмоции. Управление вниманием.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Индуцированный переход.md
Трансерфинг,Ключевые смыслы,Важность и равновесные силы,"Избыточная важность → равновесные силы устраняют потенциал → противоположный результат.",md,Трансерфинг/Ключевые смыслы Трансерфингава/Важность и равновесные силы.md
Третий Трест,,Итоговый отчёт,"6 месяцев консалтинга: методология коучинга, аудит 12 менеджеров, 924 млн руб, 130 квартир, конверсия 93%.",md,Третий Трест/ИТОГОВЫЙ ОТЧЕТ - Путь в Третьем Тресте.md
Третий Трест,,Отчёт 6 месяцев — Краткая сводка,"ABC-сегментация агентств, маршрутные карты, система работы с партнёрами.",md,Третий Трест/ОТЧЕТ - 6 месяцев Краткая сводка результатов.md
Третий Трест,,Отчёт 6 месяцев — для Никоновой,"Полный отчёт: аудит партнёрской сети, отдел заботы, скрипты, офлайн-мероприятия.",md,Третий Трест/ОТЧЕТ - 6 месяцев консалтинга для Марии Никоновой.md
Третий Трест,,Деловой обед — Мария Никонова,"Агенда: открытие, результаты, прогресс, планы. Стратегическое обсуждение.",md,Третий Трест/Деловой обед - Мария Никонова.md
Третий Трест,,Алгоритм обработки клиента — Трейд-ин,"Пошагово: первичный контакт, приветствие, скрипты WhatsApp, сбор информации.",md,Третий Трест/Алгоритм обработки клиента - Трейд-ин.md
Третий Трест,,Маркетинг Telegram — billb,"Микроамбассадоры, CPL ~300 руб, задания (аватар, Stories, Bio), сегменты.",md,Третий Трест/Маркетинговая программа Telegram — billb для Третий Трест.md
Третий Трест,,Маркетинг Telegram — billb Trade-in,"Адаптация billb под Trade-in: CPL 300-400 руб, офферы по обмену жилья.",md,Третий Трест/Маркетинговая программа Telegram — billb для Trade-in (Третий Трест).md
Третий Трест,,Методология коучинга РОПов,"Авторская методология: из операционного РОПа в стратегического лидера (6-12 мес).",md,Третий Трест/Методология коучинга РОПов (Антон).md
Третий Трест,,Подготовка к встрече с Александром,"Личные данные, режим (9:00-21:30), доход (до 400К), стиль работы.",md,Третий Трест/Подготовка к встрече с Александром.md
Третий Трест,,Программа развития Александра,"6 месяцев → Супер-РОП: компетенции, дорожная карта по 8 направлениям.",md,Третий Трест/Программа развития - Александр → Супер-РОП (6 месяцев).md
Третий Трест,,Шпаргалка — встреча с Александром,"Установочная встреча 90-120 мин: вступление, программа, первые задачи.",md,Третий Трест/Шпаргалка для завтра - Установочная встреча с Александром.md
Третий Трест,,Индекс (dataview),"Obsidian-хаб с dataview-запросами: проекты, встречи, идеи, контакты.",md,Третий Трест/00. Индекс (Третий Трест).md
Третий Трест,,Индекс (главный),"Быстрые ссылки на все файлы: идеи, отчёты, команда, мотивация, карты.",md,Третий Трест/00. Индекс.md
Третий Трест,,Логика консалтинга,"12-недельная карта: аудит → регламенты → внедрение → контроль. Принципы: прозрачность, ИИ.",md,Третий Трест/Логика консалтинга застройщика.md
Третий Трест,,Идеи на реализацию,"Бэклог: онлайн-показы, прозвон, voice AI, допродажи ремонтных компаний.",md,Третий Трест/0. Идеи на реализацию.md
Третий Трест,,Разбор команды,"12 менеджеров: ФИО, возраст, доход, стаж, сильные стороны, партнёры.",md,Третий Трест/Разбор команды.md
Третий Трест,,Отчёт застройщиков Уфа — сентябрь 2025,"Аналитика: Первый Трест (1.5 млрд), Prime (1.08 млрд), Третий Трест (924 млн).",md,Третий Трест/Отчет застройщиков Уфа сентябрь 2025.md
Третий Трест,,Академия новостроек,"Бесплатный курс на GetCourse: 7 АН, 500+ участников, 4 модуля.",md,Третий Трест/01_ Академия новостроек Дорожная карта.md
Третий Трест,,Менеджер отдела заботы (инструкция),"Должностная инструкция: удалёнка, лояльность, повторные сделки, вовлечённость.",md,Третий Трест/Менеджер отдела заботы (сопровождения агентов).md
Третий Трест,,Команда ОП,"Прямой канал (Рафис + 7 менеджеров), партнёрский (Альбина + 5), проект Яркий.",md,Третий Трест/2. Команда ОП.md
Третий Трест,,Рафис,"РОП: решение ситуаций, АМО CRM, ЗП 150К, задача — независимость от агентств.",md,Третий Трест/Рафис.md
Третий Трест,,Отдел заботы,"Менеджер: удалёнка, оцифровка агентов, сегментация для коворкинга.",md,Третий Трест/Отдел заботы.md
Третий Трест,,Мотивация партнёрщиков,"Шкала: 1-5 сделок — 0.1%, 6-9 — 0.2%, 10+ — 0.3%.",md,Третий Трест/Мотивация для Партнерщиков.md
Третий Трест,,Маршрутная карта Июнь-Июль,"«Империал. Перезапуск»: 33 млн до 30 июня, презентация для АН.",md,Третий Трест/МАРШРУТНАЯ КАРТА ИЮНЬ–ИЮЛЬ.md
Третий Трест,,Империал,"Задача: продать на 45 млн, комьюнити 2 сделки вход, рассрочки.",md,Третий Трест/Империал.md
Третий Трест,,Альбина — встреча 12.06,"10 сделок Яркий, профайлинг 7 радикалов, задача — 20 касаний.",md,Третий Трест/Альбина встреча 12.06.md
Третий Трест,,Мотивация прямого ОП,"Шкала: 1-4 — 0.35%, 5-7 — 0.5%, 8-9 — 0.55%, 10+ — 0.6%.",md,Третий Трест/Мотивация прямого ОП.md
Третий Трест,,Мотивация (расчёт),"0.35% + 30К оклад = 48К-470К. Среднее: 3-5 прямых + 30 агентских.",md,Третий Трест/Мотивация.md
Третий Трест,,Репрофит + Третий Трест,"7 кураторов, контакты, команда Репрофит.",md,Третий Трест/Репрофит + Третий трест.md
Третий Трест,,Заметки (сырые),"Чатботы, структурная трансляция агентствам, партнёрский KPI.",md,Третий Трест/0. Заметки.md
Третий Трест,,Собрание менеджеров 22.05,"Список сотрудников с датами прихода и опытом.",md,Третий Трест/22.05 Собрание менеджеров 3 трест.md
Третий Трест,,Рафис — первая встреча,"Связующее звено, 1С, АМО CRM, сильные/слабые стороны команды.",md,Третий Трест/Рафис первая встреча.md
Третий Трест,,Контакты сотрудников,"Андрей Ковшов — группа компаний 3 Трест.",md,Третий Трест/Контакты сотрудников.md
Третий Трест,,План май-октябрь,"Цель — предсказуемая система ОП. Этап 1: карта, CRM, инвентаризация.",md,Третий Трест/3. План на май-июль (с продлением на август-октябрь).md
Третий Трест,,Развитие комьюнити,"Платформа для агентов: бренд, чат, мастермайнды, рейтинг, аналитика.",md,Третий Трест/Развитие комьюнити.md
Третий Трест,,Первая встреча по консалтингу,"Точки роста: непрозрачность, реактивное управление. План: регламенты, ИИ, KPI.",md,Третий Трест/Первая встреча по консалтингу.md
Третий Трест,,Менеджер отдела заботы (стратегия),"Консьерж-сервис: от бронирования до заселения + ремонт. Заработок 2-3x.",md,Третий Трест/Менеджер отдела заботы.md
Третий Трест,,Вопросы агентам,"50 вопросов: мотивация, барьеры, ожидания, красные флаги.",md,Третий Трест/вопросы агентам.md
Третий Трест,,АН Компании,"14 АН «закрывают» (Макромир, Самолет...) и 5 «не закрывают».",md,Третий Трест/1. АН Компании.md
Третий Трест,,Встречи и Созвоны,"Хронология: встречи 15.04, 21.04, 29.04 и созвоны.",md,Третий Трест/Встречи и Созвоны.md
Третий Трест,,Вторая онлайн встреча,"CRM, обучения, транскрибация, WhatsApp в АМО.",md,Третий Трест/Вторая онлайн встреча (пропуск через GPT).md
Третий Трест,,8-недельный план наставничества,"Неделя 1 — аудит, 2 — партнёры, 3 — рынок, 4 — стратегия и т.д.",md,Третий Трест/Восьми недельный план.md
Третий Трест,,Анамнез Александра,"Рабочий день: 9:00-18:00 — бумаги, договоры, обучение, операционка.",md,Третий Трест/Анамнез Александра.md
Третий Трест,,План общими мазками,"4 недели: аудит → обратная связь → новые АН → дальнейшие шаги.",md,Третий Трест/План общими мазками.md
Третий Трест,Общие данные,Анализ ответов с опросника,"Средний балл 8/10. Сильные: коллектив, продукт. Сложности: увод клиентов, конверсия.",md,Третий Трест/Общие данные/Анализ ответов с опросника.md
Третий Трест,Общие данные,Андрей Ковшов,"Контакт: 89373639387 (Telegram), CRM.",md,Третий Трест/Общие данные/Андрей Ковшов.md
Третий Трест,Общие данные,Созвон по AmoCRM,"Анализ звонков, транскрибация, WhatsApp интеграция, воронка.",md,Третий Трест/Общие данные/Созвон по AmoCrm воронка.md
Третий Трест,Общие данные,Позиционирование Антона,"Варианты: «стратегический консультант», «руководитель проекта». Мандат от руководства.",md,Третий Трест/Общие данные/Мое позиционирование для команды и рынка.md
Третий Трест,Общие данные,Эффект признания,"Система контроля и поддержки: планёрки, обучение, чек-ин. «Рост через сообщество».",md,Третий Трест/Общие данные/Эффект «признания».md
Третий Трест,Общие данные,Voice AI сервис (Частный),"n8n + AssemblyAI: 2000 звонков за 50-80$/мес, автотранскрипция, AMOCRM/Telegram.",md,"Третий Трест/Общие данные/«Частный риэлтор.md"
Третий Трест,Общие данные,Voice AI сервис,"n8n + AssemblyAI + GPT: транскрипция с ролями, оценка качества, CRM.",md,Третий Трест/Общие данные/voice ai сервис.md
Третий Трест,Общие данные,План на квартал — активности,"Май: вебинар + день агента. Июнь: Telegram-игра + тур. Июль: Zoom + премия.",md,Третий Трест/Общие данные/План на квартал 1 онлайн + 1 офлайн-активность в месяц.md
Третий Трест,Общие данные,4 неделя,"Погружение в каждое АН, стратегия по каждому, проверка гипотез.",md,Третий Трест/Общие данные/4 неделя.md
Третий Трест,Общие данные,3 неделя,"Активные агенты, обратная связь от АН, мотивация конкурентов, визиты к 5-7 новым АН.",md,Третий Трест/Общие данные/3 неделя.md
Третий Трест,Общие данные,2 неделя,"Обратная связь от ключевых партнёров, маршрутная карта, тактика.",md,Третий Трест/Общие данные/2 неделя.md
Третий Трест,Общие данные,1 неделя,"День 1: вводная встреча (2 часа), знакомство, доверие, тайм-аудит, «Стратегическая тетрадь».",md,Третий Трест/Общие данные/1 неделя.md
маркетинг,,Команда маркетинга,"Состав: босс, таргет, координатор, Telegram, PR, бот. Эксперты из Этажи, Самолет, Пентхаус.",md,маркетинг/Команда маркетинга.md
Личный кабинет,,Презентация обо мне,"Биография: IT → Макромир (170 сделок/мес, 7 млрд за 2023) → Эксперт Сити.",md,🧑‍💻 Личный кабинет/Презентация обо мне.md
Личный кабинет,,План полугода (траты),"Детальная таблица расходов: жильё 33.5К, продукты 20К, такси 22К, психолог 12К.",md,🧑‍💻 Личный кабинет/План полугода (траты ).md
Личный кабинет,,Бухгалтерия ноябрь-декабрь,"Архив: ноябрь — доход 171К, расходы 102К. Таблица по категориям.",md,🧑‍💻 Личный кабинет/Бухгалтерия ноябрь - декабрь.md
Личный кабинет,,Налоги 2026,"Маршрутная карта: целевой доход 750К/мес, ИП на УСН 6%.",md,🧑‍💻 Личный кабинет/Налоги 2026.md
Личный кабинет,,Налоги 2026 + продукт,"Расширенная версия: ИП на УСН 6%, виды деятельности.",md,🧑‍💻 Личный кабинет/Налоги 2026 + продукт.md
Личный кабинет,,Список Инст и ТГ,"Контакты: друзья, коллеги-риэлторы, потенциальные наставники.",md,🧑‍💻 Личный кабинет/СПИСОК ИНСТ И ТГ.md
Личный кабинет,,Соц капитал,"Команда/сотрудники, контакты Третьего Треста, партнёры.",md,🧑‍💻 Личный кабинет/Соц капитал.md
Личный кабинет,,Анализ — Трансерфинг и 12 законов,"Сопоставление: правило зеркала = закон соответствия. Сходства и различия.",md,🧑‍💻 Личный кабинет/Анализ сопоставления - Трансерфинг и 12 законов.md
Личный кабинет,,Эксперимент 21 дня — версия 1,"Алгоритм: калибровка → активация → квантовое творение. 12 законов по дням.",md,🧑‍💻 Личный кабинет/Эксперимент 21 дня - 12 законов вселенной 1.md
Личный кабинет,,Эксперимент 21 дня — версия 2,"Дубль алгоритма: 3 недели, День 1 — Закон единства.",md,🧑‍💻 Личный кабинет/Эксперимент 21 дня - 12 законов вселенной.md
Личный кабинет,,Трекер 21 дня,"Чек-лист: утренние/дневные/вечерние практики по 12 законам.",md,🧑‍💻 Личный кабинет/✅  Трекер 21 дня - Отслеживание практик.md
Личный кабинет,,План выхода на доход 300+К,"Через ИП отца: пакеты консалтинга (Старт 150К, Рост 250К, Премиум 400К).",md,🧑‍💻 Личный кабинет/План выхода на доход 300+к через ИП отца.md
Личный кабинет,Досье,Контакты и дерево влияния,"Архивный файл → перенаправляет на БАЗУ КОНТАКТОВ.",md,🧑‍💻 Личный кабинет/Досье/Контакты и дерево влияния.md
Личный кабинет,Досье,Опыт работы с застройщиками,"Макромир (2021-2024): 170-180 сделок/мес, 5+ млрд руб.",md,🧑‍💻 Личный кабинет/Досье/Опыт работы с застройщиками.md
Личный кабинет,Досье,Ключевые факты и вехи,"Хронология: 2021-2024 РОП Макромир, 2024 — проект «Люди» (50+ обучений).",md,🧑‍💻 Личный кабинет/Досье/🧱 Ключевые факты и вехи.md
